Rep;Block;Plot;Variety;Yield
r1;b1;p1;v01;6
r2;b6;p1;v01;24
r1;b1;p2;v02;7
r2;b7;p1;v02;21
r1;b1;p3;v03;5
r2;b8;p1;v03;16
r1;b1;p4;v04;8
r2;b9;p1;v04;17
r1;b1;p5;v05;6
r2;b10;p1;v05;15
r1;b2;p1;v06;16
r2;b6;p2;v06;13
r1;b2;p2;v07;12
r2;b7;p2;v07;11
r1;b2;p3;v08;12
r2;b8;p2;v08;4
r1;b2;p4;v09;13
r2;b9;p2;v09;10
r1;b2;p5;v10;8
r2;b10;p2;v10;15
r1;b3;p1;v11;17
r2;b6;p3;v11;24
r1;b3;p2;v12;7
r2;b7;p3;v12;14
r1;b3;p3;v13;7
r2;b8;p3;v13;12
r1;b3;p4;v14;9
r2;b9;p3;v14;30
r1;b3;p5;v15;14
r2;b10;p3;v15;22
r1;b4;p1;v16;18
r2;b6;p4;v16;11
r1;b4;p2;v17;16
r2;b7;p4;v17;11
r1;b4;p3;v18;13
r2;b8;p4;v18;12
r1;b4;p4;v19;13
r2;b9;p4;v19;9
r1;b4;p5;v20;14
r2;b10;p4;v20;16
r1;b5;p1;v21;14
r2;b6;p5;v21;8
r1;b5;p2;v22;15
r2;b7;p5;v22;23
r1;b5;p3;v23;11
r2;b8;p5;v23;12
r1;b5;p4;v24;14
r2;b9;p5;v24;23
r1;b5;p5;v25;14
r2;b10;p5;v25;19
